month,repository_language,pushes
2013-04,ColdFusion,1706
2013-04,Max,10
2013-04,OCaml,3542
2013-04,eC,3
2013-04,Rust,2155
2013-04,Puppet,8314
2013-04,Augeas,38
2013-04,Ioke,9
2013-04,Python,285239
2013-04,Scala,20933
2013-04,Forth,16
2013-04,Shell,97064
2013-04,Perl,33890
2013-04,CoffeeScript,20915
2013-04,CLIPS,37
2013-04,Emacs Lisp,16642
2013-04,PHP,273598
2013-04,C,167192
2013-04,Java,422452
2013-04,Objective-C,55131
2013-04,Ruby,308832
2013-04,C++,195143
2013-04,JavaScript,641774
2013-04,Turing,46
2013-04,PogoScript,32
2013-04,null,342860
2013-04,Matlab,11993
2013-04,Visual Basic,2586
2013-04,Bro,11
2013-04,MoonScript,108
2013-04,Clojure,11234
2013-04,VimL,35023
2013-04,Mirah,1
2013-04,Monkey,44
2013-04,Processing,3021
2013-04,Groovy,7289
2013-04,ActionScript,6667
2013-04,Lua,13907
2013-04,Common Lisp,2901
2013-04,Racket,1958
2013-04,Tcl,518
2013-04,Fancy,2
2013-04,D,2590
2013-04,Go,15775
2013-04,Haskell,13566
2013-04,ABAP,3
2013-04,Arduino,3591
2013-04,C#,73263
2013-04,Opa,9
2013-04,VHDL,1449
2013-04,FORTRAN,2066
2013-04,Coq,1053
2013-04,XML,4237
2013-04,LiveScript,408
2013-04,Objective-J,231
2013-04,Haxe,2327
2013-04,ASP,3468
2013-04,Kotlin,177
2013-04,Dart,3644
2013-04,Eiffel,609
2013-04,Vala,626
2013-04,Smalltalk,715
2013-04,Verilog,1865
2013-04,Io,96
2013-04,Standard ML,6725
2013-04,Ecl,35
2013-04,Awk,143
2013-04,Scilab,88
2013-04,F#,1453
2013-04,Nu,129
2013-04,AppleScript,212
2013-04,Rebol,29
2013-04,Boo,91
2013-04,Lasso,509
2013-04,DCPU-16 ASM,148
2013-04,Pure Data,224
2013-04,AutoHotkey,464
2013-04,Prolog,1477
2013-04,Nimrod,103
2013-04,HaXe,202
2013-04,Logtalk,53
2013-04,OpenEdge ABL,415
2013-04,Xtend,67
2013-04,Fantom,32
2013-04,Pike,25
2013-04,Parrot,131
2013-04,Factor,646
2013-04,ooc,85
2013-04,Rouge,10
2013-04,Arc,45
2013-04,Gosu,117
2013-04,Ragel in Ruby Host,39
2013-04,Apex,352
2013-04,Nemerle,143
2013-04,Ceylon,50
2013-04,XQuery,193
2013-04,Dylan,83
2013-04,Delphi,2470
2013-04,Elixir,593
2013-04,Assembly,2699
2013-04,PowerShell,1720
2013-04,Ada,526
2013-04,DOT,1239
2013-04,Julia,2252
2013-03,ActionScript,6282
2013-03,Racket,2145
2013-03,Prolog,1598
2013-03,Erlang,7243
2013-03,OCaml,3477
2013-03,Tcl,714
2013-03,XML,3193
2013-03,Julia,2160
2013-03,Lua,13713
2013-03,Delphi,2472
2013-03,Puppet,7403
2013-03,Matlab,10688
2013-03,Common Lisp,2817
2013-03,Smalltalk,692
2013-03,Gosu,162
2013-03,Visual Basic,2399
2013-03,Scheme,2892
2013-03,Verilog,1651
2013-03,Logos,2800
2013-03,ColdFusion,1355
2013-03,Processing,984
2013-03,Factor,722
2013-03,Arduino,2952
2013-03,F#,1490
2013-03,Ada,334
2013-03,Assembly,2234
2013-03,Clojure,12136
2013-03,Python,269934
2013-03,TXL,1
2013-03,Shell,90977
2013-03,Java,383778
2013-03,null,370504
2013-03,PHP,267789
2013-03,Objective-C,77519
2013-03,JavaScript,614837
2013-03,C++,166615
2013-03,VimL,35189
2013-03,Perl,35025
2013-03,Ruby,304204
2013-03,Go,13910
2013-03,Rust,2255
2013-03,ASP,2305
2013-03,C,161304
2013-03,R,9234
2013-03,Emacs Lisp,15904
2013-03,Dart,2682
2013-03,OpenEdge ABL,358
2013-03,CoffeeScript,21912
2013-03,VHDL,1163
2013-03,Scala,18849
2013-03,Haskell,15197
2013-03,Groovy,7208
2013-03,C#,65413
2013-03,D,3046
2013-03,Pike,8
2013-03,Xtend,114
2013-03,LiveScript,275
2013-03,DCPU-16 ASM,116
2013-03,Rebol,72
2013-03,Nemerle,231
2013-03,Bro,20
2013-03,Scilab,134
2013-03,eC,17
2013-03,Boo,62
2013-03,Logtalk,147
2013-03,Nimrod,82
2013-03,CLIPS,82
2013-03,Ioke,17
2013-03,XQuery,221
2013-03,Monkey,58
2013-03,Fantom,30
2013-03,Forth,9
2013-03,Max,8
2013-03,Mirah,6
2013-03,Arc,7
2013-03,PogoScript,9
2013-03,Nu,10
2013-03,Ecl,6
2013-03,Fancy,12
2013-03,Ragel in Ruby Host,2
2013-03,Self,2
2013-03,HaXe,819
2013-03,TypeScript,2315
2013-03,Objective-J,336
2013-03,Elixir,514
2013-03,FORTRAN,1581
2013-03,Dylan,154
2013-03,Kotlin,153
2013-03,Pure Data,190
2013-03,Coq,412
2013-03,Turing,15
2013-03,Parrot,118
2013-03,Eiffel,459
2013-03,Vala,680
2013-03,PowerShell,1875
2013-03,Standard ML,531
2013-03,AppleScript,207
2013-03,DOT,603
2013-03,Haxe,1217
2013-03,AutoHotkey,379
2013-03,Lasso,1005
2013-03,Ceylon,74
2013-03,Io,105
2013-03,ooc,391
2013-03,SuperCollider,228
2013-03,Augeas,26
2013-03,Apex,361
2013-03,Awk,113
2013-02,XQuery,164
2013-02,OpenEdge ABL,267
2013-02,HaXe,1026
2013-02,Visual Basic,1697
2013-02,ActionScript,4700
2013-02,Arduino,1839
2013-02,Rust,1921
2013-02,Assembly,1766
2013-02,OCaml,2890
2013-02,Ioke,11
2013-02,Self,55
2013-02,Racket,1732
2013-02,VHDL,687
2013-02,ooc,179
2013-02,Dart,2170
2013-02,Julia,1230
2013-02,Elixir,398
2013-02,Factor,146
2013-02,Vala,404
2013-02,Ecl,47
2013-02,Rebol,58
2013-02,Io,108
2013-02,Gosu,74
2013-02,Verilog,731
2013-02,Opa,2
2013-02,Eiffel,186
2013-02,Coq,423
2013-02,Tcl,547
2013-02,AutoHotkey,208
2013-02,Delphi,1798
2013-02,ColdFusion,1188
2013-02,DCPU-16 ASM,125
2013-02,Standard ML,363
2013-02,Prolog,1114
2013-02,eC,28
2013-02,Pure Data,120
2013-02,PowerShell,988
2013-02,Fancy,16
2013-02,Max,7
2013-02,Ada,343
2013-02,Objective-J,405
2013-02,Fantom,8
2013-02,Nimrod,2
2013-02,Mirah,4
2013-02,Parrot,193
2013-02,Puppet,4966
2013-02,JavaScript,457919
2013-02,Go,7803
2013-02,Erlang,5287
2013-02,Perl,28430
2013-02,FORTRAN,1257
2013-02,null,577562
2013-02,Ruby,222689
2013-02,Java,270047
2013-02,Python,203700
2013-02,Shell,73523
2013-02,Emacs Lisp,12722
2013-02,C#,42446
2013-02,Clojure,6665
2013-02,PHP,202886
2013-02,Lua,9489
2013-02,C++,129150
2013-02,R,6440
2013-02,VimL,28012
2013-02,C,128003
2013-02,Scheme,1555
2013-02,CoffeeScript,14962
2013-02,Scala,16483
2013-02,Objective-C,44098
2013-02,SuperCollider,103
2013-02,Bro,67
2013-02,Nemerle,51
2013-02,Turing,15
2013-02,Boo,52
2013-02,Augeas,9
2013-02,Apex,246
2013-02,Dylan,60
2013-02,AppleScript,107
2013-02,Kotlin,144
2013-02,Arc,24
2013-02,Matlab,5774
2013-02,Scilab,135
2013-02,Ceylon,114
2013-02,Smalltalk,462
2013-02,ASP,1284
2013-02,F#,780
2013-02,D,2780
2013-02,Common Lisp,2261
2013-02,Haskell,10713
2013-02,Logtalk,101
2013-02,Groovy,6346
2013-01,Arduino,2106
2013-01,C,133043
2013-01,C++,132682
2013-01,Ruby,235272
2013-01,C#,46167
2013-01,Python,203585
2013-01,VimL,28064
2013-01,Perl,27646
2013-01,PHP,218008
2013-01,ActionScript,5407
2013-01,Shell,74960
2013-01,Groovy,6491
2013-01,JavaScript,465737
2013-01,Haskell,11454
2013-01,Erlang,6395
2013-01,OCaml,3309
2013-01,Scala,17833
2013-01,VHDL,577
2013-01,Emacs Lisp,14142
2013-01,D,2832
2013-01,CoffeeScript,14807
2013-01,Prolog,1110
2013-01,Common Lisp,2169
2013-01,Objective-C,47624
2013-01,ooc,113
2013-01,Ioke,15
2013-01,Mirah,22
2013-01,eC,6
2013-01,Nimrod,6
2013-01,Max,70
2013-01,Arc,4
2013-01,AppleScript,260
2013-01,SuperCollider,50
2013-01,Rebol,57
2013-01,Augeas,62
2013-01,DCPU-16 ASM,144
2013-01,Delphi,1947
2013-01,Ada,296
2013-01,Io,55
2013-01,Apex,184
2013-01,Opa,19
2013-01,Boo,74
2013-01,Ecl,6
2013-01,Max/MSP,1
2013-01,Nu,3
2013-01,null,502268
2013-01,Java,284459
2013-01,Logtalk,72
2013-01,OpenEdge ABL,395
2013-01,Assembly,1497
2013-01,Dart,1981
2013-01,Elixir,532
2013-01,Factor,147
2013-01,Tcl,613
2013-01,Verilog,583
2013-01,Go,9467
2013-01,Turing,50
2013-01,Standard ML,337
2013-01,Kotlin,166
2013-01,Nemerle,100
2013-01,Eiffel,144
2013-01,Objective-J,492
2013-01,Bro,8
2013-01,Fancy,12
2013-01,Gosu,59
2013-01,Scilab,235
2013-01,Self,49
2013-01,Coq,244
2013-01,Dylan,51
2013-01,Ceylon,26
2013-01,Vala,408
2013-01,Lua,11928
2013-01,Clojure,7870
2013-01,ASP,1376
2013-01,AutoHotkey,215
2013-01,Puppet,4638
2013-01,Visual Basic,1353
2013-01,Parrot,135
2013-01,Scheme,1384
2013-01,Racket,1914
2013-01,Rust,1363
2013-01,XQuery,191
2013-01,Smalltalk,615
2013-01,ColdFusion,976
2013-01,FORTRAN,1586
2013-01,Matlab,6348
2013-01,R,6532
2013-01,Julia,1428
2013-01,HaXe,1176
2013-01,Pure Data,87
2013-01,PowerShell,1050
2013-01,F#,746
2012-12,Perl,25245
2012-12,Objective-C,39156
2012-12,CoffeeScript,13787
2012-12,Emacs Lisp,11720
2012-12,VimL,25469
2012-12,Go,9799
2012-12,Lua,11756
2012-12,eC,1
2012-12,Scala,16006
2012-12,Erlang,5241
2012-12,PowerShell,1031
2012-12,Matlab,3899
2012-12,Apex,195
2012-12,Prolog,908
2012-12,Bro,3
2012-12,Haskell,11930
2012-12,Ada,243
2012-12,Fancy,23
2012-12,Dylan,101
2012-12,Nemerle,50
2012-12,Scilab,116
2012-12,Mirah,17
2012-12,Kotlin,114
2012-12,Self,11
2012-12,Max,52
2012-12,Rebol,30
2012-12,Nimrod,37
2012-12,Ioke,14
2012-12,Boo,69
2012-12,Ecl,19
2012-12,C++,125093
2012-12,Java,270868
2012-12,JavaScript,415038
2012-12,C#,48435
2012-12,PHP,197043
2012-12,Ruby,222227
2012-12,null,233663
2012-12,R,6244
2012-12,Python,193730
2012-12,Shell,67530
2012-12,C,122113
2012-12,Ceylon,22
2012-12,Nu,10
2012-12,Delphi,1882
2012-12,Verilog,622
2012-12,Augeas,59
2012-12,Gosu,79
2012-12,Tcl,498
2012-12,ColdFusion,1227
2012-12,Arc,34
2012-12,Objective-J,238
2012-12,FORTRAN,1299
2012-12,Racket,1736
2012-12,Pure Data,111
2012-12,VHDL,616
2012-12,Scheme,1833
2012-12,Visual Basic,1482
2012-12,XQuery,149
2012-12,Julia,1656
2012-12,ASP,1428
2012-12,Assembly,1573
2012-12,Clojure,7519
2012-12,AutoHotkey,226
2012-12,Parrot,99
2012-12,Io,63
2012-12,AppleScript,257
2012-12,Opa,12
2012-12,Eiffel,297
