month,repository_language,pushes
2012-07,Boo,48
2012-07,null,452806
2012-07,Factor,1202
2012-07,Kotlin,402
2012-07,Ceylon,22
2012-07,Augeas,98
2012-07,Gosu,104
2012-07,Eiffel,220
2012-07,Dylan,42
2012-07,Ioke,52
2012-07,Rebol,8
2012-07,OpenEdge ABL,284
2012-07,Self,76
2012-07,Bro,18
2012-07,Arc,124
2012-07,Nu,10
2012-07,Logtalk,4
2012-07,ooc,8
2012-07,Mirah,2
2012-07,Fantom,8
2012-07,Max/MSP,2
2012-07,eC,4
2012-07,Objective-C,63698
2012-07,C#,69510
2012-07,Vala,906
2012-07,Clojure,13816
2012-07,Erlang,9942
2012-07,Emacs Lisp,20866
2012-07,Groovy,8636
2012-07,CoffeeScript,23692
2012-07,Haskell,18236
2012-07,Scheme,2372
2012-07,ASP,2452
2012-07,Python,329270
2012-07,VimL,54528
2012-07,C++,197018
2012-07,Ruby,389892
2012-07,Java,373752
2012-07,Lua,15454
2012-07,PHP,315266
2012-07,Perl,44446
2012-07,Shell,102754
2012-07,JavaScript,600402
2012-07,C,192254
2012-06,ASP,1885
2012-06,Nu,2
2012-06,Max/MSP,125
2012-06,Turing,39
2012-06,Boo,49
2012-06,Bro,24
2012-06,Augeas,19
2012-06,Julia,1259
2012-06,ColdFusion,2683
2012-06,R,9013
2012-06,Visual Basic,1701
2012-06,Scilab,703
2012-06,PowerShell,1491
2012-06,Verilog,984
2012-06,Rust,2760
2012-06,Apex,302
2012-06,Elixir,604
2012-06,Arduino,2849
2012-06,Dart,1134
2012-06,Objective-J,851
2012-06,XQuery,250
2012-06,Pure Data,225
2012-06,Smalltalk,1640
2012-06,Standard ML,548
2012-06,Eiffel,583
2012-06,Mirah,618
2012-06,F#,1437
2012-06,SuperCollider,341
2012-06,Arc,80
2012-06,OpenEdge ABL,375
2012-06,Prolog,1708
2012-06,Parrot,370
2012-06,C#,82082
2012-06,Emacs Lisp,22994
2012-06,Haskell,20318
2012-06,Puppet,7679
2012-06,Go,10544
2012-06,VHDL,2124
2012-06,CoffeeScript,27484
2012-06,Vala,902
2012-06,Clojure,15840
2012-06,D,5971
2012-06,HaXe,3436
2012-06,Common Lisp,4196
2012-06,ActionScript,9809
2012-06,Matlab,9523
2012-06,Shell,107021
2012-06,AutoHotkey,536
2012-06,Erlang,12404
2012-06,Groovy,11016
2012-06,Perl,53947
2012-06,Scheme,2149
2012-06,Ada,652
2012-06,Lua,12948
2012-06,Assembly,3258
2012-06,FORTRAN,2441
2012-06,Coq,1001
2012-06,Delphi,3299
2012-06,Tcl,984
2012-06,C++,230705
2012-06,Opa,80
2012-06,Self,111
2012-06,Kotlin,352
2012-06,Ioke,55
2012-06,Dylan,63
2012-06,Ruby,454809
2012-06,OCaml,3858
2012-06,null,469121
2012-06,Python,367720
2012-06,Scala,30511
2012-06,C,230395
2012-06,PHP,358004
2012-06,JavaScript,682461
2012-06,Racket,2226
2012-06,Java,454972
2012-06,Factor,350
2012-06,Nimrod,150
2012-06,DCPU-16 ASM,288
2012-06,Nemerle,193
2012-06,Fancy,87
2012-06,Gosu,55
2012-06,ooc,197
2012-06,Rebol,91
2012-06,Io,131
2012-06,Objective-C,61712
2012-06,VimL,55009
2012-05,Vala,1188
2012-05,OpenEdge ABL,792
2012-05,F#,1587
2012-05,Scheme,3957
2012-05,Erlang,16692
2012-05,Smalltalk,1635
2012-05,Verilog,1380
2012-05,PowerShell,2049
2012-05,Augeas,36
2012-05,C,301869
2012-05,Julia,2595
2012-05,Prolog,2496
2012-05,ASP,2499
2012-05,Dart,2169
2012-05,Visual Basic,2442
2012-05,Ada,825
2012-05,Assembly,4410
2012-05,Common Lisp,5079
2012-05,ColdFusion,2961
2012-05,Kotlin,396
2012-05,Rebol,12
2012-05,AutoHotkey,744
2012-05,Nemerle,447
2012-05,SuperCollider,549
2012-05,Python,465198
2012-05,C#,108561
2012-05,Delphi,3681
2012-05,Haskell,26769
2012-05,C++,287514
2012-05,Matlab,16182
2012-05,Ruby,581802
2012-05,JavaScript,860172
2012-05,Shell,142491
2012-05,Factor,504
2012-05,Perl,71211
2012-05,Gosu,90
2012-05,Self,24
2012-05,PHP,448104
2012-05,DCPU-16 ASM,771
2012-05,null,472854
2012-05,HaXe,2610
2012-05,Java,629568
2012-05,Coq,801
2012-05,R,11166
2012-05,Racket,3219
2012-05,D,7851
2012-05,ActionScript,13887
2012-05,Puppet,10368
2012-05,Arduino,3264
2012-05,Arc,60
2012-05,Lua,16065
2012-05,Objective-C,79458
2012-05,Clojure,20799
2012-05,OCaml,7164
2012-05,Rust,2535
2012-05,Groovy,15687
2012-05,Scala,40623
2012-05,Emacs Lisp,26469
2012-05,Fantom,9
2012-05,Go,13494
2012-05,VimL,69897
2012-05,CoffeeScript,33072
2012-05,Objective-J,633
2012-05,Tcl,3048
2012-05,Pure Data,531
2012-05,Mirah,123
2012-05,Dylan,216
2012-05,Ioke,33
2012-05,Bro,75
2012-05,Opa,156
2012-05,Fancy,123
2012-05,Parrot,636
2012-05,Scilab,654
2012-05,Boo,138
2012-05,Max/MSP,99
2012-05,Nimrod,201
2012-05,XQuery,327
2012-05,Apex,825
2012-05,Elixir,873
2012-05,Eiffel,588
2012-05,Logtalk,54
2012-05,Io,528
2012-05,FORTRAN,2868
2012-05,Standard ML,960
2012-05,VHDL,2508
2012-05,Turing,69
2012-05,ooc,297
2012-04,Gosu,105
2012-04,Ioke,36
2012-04,ooc,294
2012-04,Objective-C,77181
2012-04,C,284250
2012-04,Matlab,13014
2012-04,null,494442
2012-04,C#,105675
2012-04,Scala,36030
2012-04,Python,454107
2012-04,Visual Basic,2349
2012-04,C++,286764
2012-04,VimL,72672
2012-04,Verilog,2526
2012-04,JavaScript,800214
2012-04,Java,600639
2012-04,Rebol,15
2012-04,Clojure,21477
2012-04,DCPU-16 Assembly,6
2012-04,Max/MSP,153
2012-04,Nemerle,165
2012-04,Elixir,906
2012-04,XQuery,339
2012-04,Coq,630
2012-04,Logtalk,51
2012-04,Self,12
2012-04,DCPU-16 ASM,1422
2012-04,Augeas,24
2012-04,Fantom,9
2012-04,Apex,480
2012-04,Mirah,24
2012-04,Opa,75
2012-04,Kotlin,264
2012-04,Ruby,563403
2012-04,Bro,9
2012-04,Julia,354
2012-04,Standard ML,1053
2012-04,SuperCollider,612
2012-04,VHDL,2358
2012-04,HaXe,2919
2012-04,Eiffel,591
2012-04,AutoHotkey,594
2012-04,Io,237
2012-04,Boo,63
2012-04,Pure Data,348
2012-04,Vala,939
2012-04,Tcl,1500
2012-04,ColdFusion,2025
2012-04,OpenEdge ABL,417
2012-04,Ada,720
2012-04,Fancy,195
2012-04,Perl,63795
2012-04,Dylan,219
2012-04,PowerShell,1380
2012-04,Rust,2781
2012-04,Prolog,2463
2012-04,Racket,2823
2012-04,Factor,372
2012-04,Arc,102
2012-04,Dart,1998
2012-04,Parrot,375
2012-04,Objective-J,1104
2012-04,F#,1278
2012-04,Arduino,3330
2012-04,Turing,156
2012-04,Common Lisp,5211
2012-04,Scilab,642
2012-04,D,6489
2012-04,R,11907
2012-04,Groovy,13053
2012-04,FORTRAN,2832
2012-04,Go,15222
2012-04,CoffeeScript,30243
2012-04,Puppet,8571
2012-04,ASP,1407
2012-04,Scheme,4098
2012-04,Erlang,13953
2012-04,ActionScript,15405
2012-04,PHP,429654
2012-04,Emacs Lisp,29148
2012-04,Haskell,28167
2012-04,Lua,19938
2012-04,Shell,130926
2012-04,Delphi,4212
2012-04,Nimrod,123
2012-04,OCaml,6711
2012-04,Assembly,5256
2012-04,Smalltalk,1125
2012-03,JavaScript,539118
2012-03,Dylan,90
2012-03,Matlab,6981
2012-03,Objective-C,57222
2012-03,Delphi,3615
2012-03,D,4182
2012-03,Nimrod,108
2012-03,Gosu,72
2012-03,Self,9
2012-03,OpenEdge ABL,273
2012-03,Io,123
2012-03,Nemerle,285
2012-03,Haskell,19128
2012-03,Logtalk,6
2012-03,Parrot,60
2012-03,Emacs Lisp,19878
2012-03,Elixir,507
2012-03,Java,407394
2012-03,C#,70956
2012-03,SuperCollider,585
2012-03,Opa,108
2012-03,C++,195381
2012-03,PHP,295629
2012-03,Perl,42774
2012-03,Shell,90207
2012-03,Ruby,392688
2012-03,null,344325
2012-03,Scala,24360
2012-03,Python,316980
2012-03,VimL,50820
2012-03,C,192027
2012-03,Tcl,732
2012-03,Rust,2448
2012-03,Ioke,192
2012-03,Rebol,117
2012-03,Modelica,279
2012-03,Nu,3
2012-03,Powershell,1425
2012-03,Eiffel,738
2012-03,Arduino,1932
2012-03,Arc,90
2012-03,AutoHotkey,591
2012-03,Objective-J,1035
2012-03,XQuery,252
2012-03,FORTRAN,1455
2012-03,Apex,75
2012-03,Vala,858
2012-03,Fancy,18
2012-03,Fantom,18
2012-03,Bro,30
2012-03,Mirah,3
2012-03,Max/MSP,27
2012-03,Coq,420
2012-03,Turing,105
2012-03,Kotlin,12
2012-03,Factor,96
2012-03,Smalltalk,381
2012-03,PowerShell,153
2012-03,ASP,816
2012-03,Groovy,8394
2012-03,Clojure,13272
2012-03,R,8295
2012-03,OCaml,5703
2012-03,Puppet,6531
2012-03,Boo,204
2012-03,Visual Basic,1200
2012-03,Erlang,9393
2012-03,ActionScript,10548
2012-03,Common Lisp,3972
2012-03,Lua,13176
2012-03,Go,8658
2012-03,CoffeeScript,17310
2012-03,Standard ML,1128
2012-03,Verilog,1782
2012-03,Ada,381
2012-03,Scilab,567
2012-03,Scheme,2532
2012-03,VHDL,1986
2012-03,ColdFusion,1830
2012-03,HaXe,1527
2012-03,Racket,1545
2012-03,Assembly,2457
2012-03,Prolog,2052
2012-03,Pure Data,357
2012-03,F#,1548
